model,coin,year,value_proj,time_proj,purch_power,real_earn
macberth,sixpence,1650,0.26166050632704835,0.11877003312110901,0.13641261167903276,33.87178192292672
macberth,sixpence,1660,0.2636058017336804,0.12081880122423172,0.13342206332827827,35.6508552384603
macberth,sixpence,1670,0.263773979243695,0.11879370361566544,0.1359529142544772,36.198186096800406
macberth,sixpence,1680,0.26414400839724705,0.12300075590610504,0.14400864655485218,37.210408039950536
macberth,sixpence,1690,0.2660957399669488,0.12281841784715652,0.1486654164069261,38.744192546010716
macberth,sixpence,1700,0.2676769021683144,0.12294180691242218,0.14791280528994477,38.977209006946744
macberth,sixpence,1710,0.2672974273579244,0.12257564067840576,0.15748785587238628,42.187754787446664
macberth,sixpence,1720,0.26578058683137223,0.12199379503726959,0.1644993015105404,44.31799719512114
macberth,sixpence,1730,0.26370359487366474,0.12211952358484268,0.17216414351640785,48.03544643286373
macberth,sixpence,1740,0.26310875879678824,0.12051919102668762,0.17466834924028288,50.233123648760746
macberth,sixpence,1750,0.26275995743876923,0.12240207195281982,0.16354714348341096,47.54318595522974
macberth,sixpence,1760,0.2643264856800761,0.12290357053279877,0.1434915490398142,42.23256240835029
macberth,sixpence,1770,0.2646898803237295,0.12181317061185837,0.12611208706214241,41.65563275038803
macberth,sixpence,1780,0.26398518118852765,0.12461737543344498,0.12113108501155932,43.29710646648375
macberth,sixpence,1790,0.265078461978425,0.13068899512290955,0.1130622455358706,46.18645498456707
macberth,sixpence,1800,0.2661921461468151,0.13255801796913147,0.08526197734198854,47.74247247999312
macberth,sixpence,1810,0.26726890383694485,0.131375253200531,0.07068269264203877,47.30899556344754
macberth,sixpence,1820,0.26735179693347183,0.13407573103904724,0.0771242930978539,47.94951187114766
macberth,sixpence,1830,0.26676894701834053,0.13501235842704773,0.09026461508176865,51.24513966269001
macberth,sixpence,1840,0.266392530294501,0.13533496856689453,0.09044074556599284,53.75027159446707
macberth,sixpence,1850,0.26740637494098773,0.13808110356330872,0.09005326466534641,57.36873941186149
